user_id,video_id,cbr_score
user_080,4926770097356873,0.9990118935351661
user_080,4926970929020949,0.9990104960568147
user_080,4926009972031527,0.999010397652995
user_083,4677811932430388,0.9995454403638119
user_083,4695816603107409,0.9995058266540268
user_083,4736081359470613,0.9993943920716469
user_083,4794446697660524,0.9993046294643375
user_083,4783867228520563,0.999212272288324
user_083,4925285896749098,0.9990230882109624
user_083,4925577505734700,0.9990219879820599
user_083,4926770097356873,0.9990194492959319
user_083,4926970929020949,0.9990180571392986
user_083,4926009972031527,0.9990179589366278
user_085,4677811932430388,0.9995398069690887
user_085,4695816603107409,0.999499953835616
user_085,4736081359470613,0.9993878995130042
user_085,4794446697660524,0.9992976670970072
user_085,4783867228520563,0.9992049046188689
user_085,4925285896749098,0.9990148388579808
user_085,4925577505734700,0.9990137339931573
user_085,4926770097356873,0.9990111846329843
user_085,4926970929020949,0.9990097866170532
user_085,4926009972031527,0.9990096879633643
user_087,4677811932430388,0.9995423143115695
user_087,4695816603107409,0.9995025674807698
user_087,4736081359470613,0.9993907882016123
user_087,4794446697660524,0.9993007647775477
user_087,4783867228520563,0.99920818152749
user_087,4925285896749098,0.9990185085366547
user_087,4925577505734700,0.9990174057303424
user_087,4926770097356873,0.9990148611142554
user_087,4926970929020949,0.9990134656983791
user_087,4926009972031527,0.9990133672252589
user_091,4677811932430388,0.9995413945366788
user_091,4695816603107409,0.9995016086772324
user_091,4736081359470613,0.9993897284174337
user_091,4794446697660524,0.9992996282607187
user_091,4783867228520563,0.99920697921131
user_091,4925285896749098,0.9990171620097762
user_091,4925577505734700,0.9990160584476876
user_091,4926770097356873,0.9990135120898014
user_091,4926970929020949,0.9990121157193311
user_091,4926009972031527,0.9990120171800141
user_094,4677811932430388,0.9995394359437195
user_094,4695816603107409,0.9994995671273689
user_094,4736081359470613,0.9993874722611451
user_094,4794446697660524,0.9992972088979093
user_094,4783867228520563,0.9992044201855633
user_094,4925285896749098,0.9990142961042537
user_094,4925577505734700,0.9990131909356823
user_094,4926770097356873,0.9990106408742149
user_094,4926970929020949,0.9990092424751085
user_094,4926009972031527,0.9990091438004212
user_102,4677811932430388,0.9995386100630447
user_102,4695816603107409,0.9994987062787153
user_102,4736081359470613,0.9993865208916329
user_102,4794446697660524,0.9992961889379119
user_102,4783867228520563,0.9992033409851803
user_102,4925285896749098,0.9990130882164578
user_102,4925577505734700,0.9990119823708206
user_102,4926770097356873,0.9990094307507138
user_102,4926970929020949,0.9990080314957637
user_102,4926009972031527,0.9990079327539579
user_105,4677811932430388,0.9995377316147313
user_105,4695816603107409,0.9994977907179001
user_105,4736081359470613,0.99938550932795
user_105,4794446697660524,0.9992951043407572
user_105,4783867228520563,0.999202193942526
user_105,4925285896749098,0.9990118038205097
user_105,4925577505734700,0.99901069725617
user_105,4926770097356873,0.9990081439789508
user_105,4926970929020949,0.9990067438165193
user_105,4926009972031527,0.9990066450151206
user_125,4677811932430388,0.9995384244025992
user_125,4695816603107409,0.9994985128518472
user_125,4736081359470613,0.9993863074936917
user_125,4794446697660524,0.9992959598508269
