,unique_id,其他,影视,物料,舞台,avg_cate_play_ratio,avg_video_popularity
430,5156726681567248,True,False,False,False,0.00010795912200810138,0.28905108809277735
431,5155285300346914,False,False,False,True,0.0006585118285506261,0.2889260674385796
432,5154727034552327,False,False,False,True,0.0004791339589690718,0.28861999818365386
433,5154399027396629,True,False,False,False,0.00012997566790518057,0.28834663866573723
434,5154197155545108,True,False,False,False,0.00034687403844927626,0.2885085213464681
435,5152780286099535,True,False,False,False,0.0002631548975174902,0.2879311219588007
436,5152086778642448,True,False,False,False,0.0007328805360529727,0.288281702949259
437,5152177942102028,True,False,False,False,0.00027369125769325097,0.2878360027230362
438,5150588066005033,True,False,False,False,0.0004849175997191338,0.2875817197642749
439,5150398420287494,True,False,False,False,0.00020937499191729574,0.2872730847232936
440,5150374848299076,True,False,False,False,0.0008228706717146822,0.2877309688697408
441,5149623463903337,True,False,False,False,0.00022101853205992153,0.2870758087578197
442,5148480004358146,True,False,False,False,0.0003630370509154045,0.2868728554310185
443,5147085243351058,True,False,False,False,0.0002652059030297598,0.2863879065855505
444,5146218700144665,False,False,True,False,0.010625675601354273,0.2860589163686334
445,5145868714835995,False,False,True,False,0.028302149868019683,0.2860805558630128
446,5145867431116881,False,False,True,False,0.0232967457194612,0.2860452667932802
447,5145497648693251,True,False,False,False,0.00025093961690023965,0.2859653265988344
448,5144560888643596,True,False,False,False,0.0004684369536558835,0.28581870709026086
449,5143087744221196,True,False,False,False,0.0008122889353107379,0.2856634096334327
450,5140781602635833,True,False,False,False,0.00015654798710825057,0.28455609715889285
451,5140565575008279,True,False,False,False,0.0003067523775214304,0.2845652195321846
452,5140541613211656,True,False,False,False,0.00020430192961044198,0.2844887553655415
453,5139447847518268,True,False,False,False,0.0010451415876714936,0.28480736907072035
454,5137640857731103,True,False,False,False,0.00022301508609837096,0.2836788573685061
455,5137305799688287,True,False,False,False,0.0002928218754801432,0.2836279747765848
456,5128565839298633,True,False,False,False,0.00015011363795696073,0.2798140733485448
457,5128553927213088,True,False,False,False,0.0001655052545444171,0.27982556092287614
458,5128546595831818,True,False,False,False,0.0001254561955817076,0.27979567020027934
459,5128539461058595,True,False,False,False,0.00010365745557973554,0.2797794006521992
460,5128531869630515,True,False,False,False,0.00012611868851265844,0.2797961646536556
461,5128140343672889,True,False,False,False,0.00015286343738268824,0.28094893950964855
462,5127895526604864,True,False,False,False,0.00042845142141258803,0.28105164226440393
463,5127809354367016,True,False,False,False,0.00029542647097592655,0.2809523587357783
464,5126431215124550,True,False,False,False,0.0003313462931772296,0.2805672352856497
465,5126119276347414,True,False,False,False,0.0004842278810512319,0.28057835579244844
466,5126084912414727,True,False,False,False,0.000155812892212264,0.28033324238448654
467,5126083490545753,True,False,False,False,0.00019379279517142892,0.2803615887869492
468,5125005109821509,True,False,False,False,0.0001533898016291972,0.2800224846749862
469,5124944171040804,True,False,False,False,0.00023010285293494754,0.28007973966662714
470,5124890362314760,True,False,False,False,8.976325452102646e-05,0.27997499683086047
471,5124858565034019,True,False,False,False,0.00042859662534261287,0.28022788602616455
472,5124511738036230,True,False,False,False,0.00023773513450940116,0.27998245296400753
473,5123862942384149,True,False,False,False,0.0003930488882119272,0.2798924056478496
474,5122826647044098,False,True,False,False,0.09717898470084115,0.27965213802447325
475,5122762260283424,False,True,False,False,0.12177099493589405,0.27974375413909947
476,5122130614878295,True,False,False,False,0.00025695650475249796,0.2792759173501194
477,5121680306012251,True,False,False,False,0.0006517569153711709,0.2794675946192715
478,5121677479313430,True,False,False,False,0.0010897101189577482,0.2797944621676694
479,5121589415444490,True,False,False,False,0.00016862713904100497,0.2791070094146108
480,5121342379327540,False,True,False,False,0.024426560513672518,0.2789691707618016
481,5121250499166244,True,False,False,False,0.00020748734082632432,0.2790330297540163
482,5120599727472664,False,True,False,False,0.05237665465410339,0.2788673310712858
483,5119769863716899,True,False,False,False,0.0003111992478798392,0.2786985031082833
484,5117796699275493,False,True,False,False,0.04451324756652372,0.27801417179049187
485,5117766987088073,False,False,False,True,0.00016044360633328487,0.2779378769571968
486,5117765573607442,False,True,False,False,0.030033669752538617,0.2779602289591387
487,5117763853942892,False,True,False,False,0.025450167031662755,0.2779431533843218
488,5117762209513494,False,False,False,True,0.00021852081764303047,0.27797028736001256
489,5117732442538055,True,False,False,False,0.0004727295448386309,0.27820116322007077
490,5116715202445338,True,False,False,False,0.00017670410765116952,0.2776712746115325
491,5116623435268114,False,True,False,False,0.0921064053310499,0.27788252812321934
492,5115797090271277,False,True,False,False,0.27127390855545397,0.27834404016164704
493,5114447312650295,False,True,False,False,0.09651173142890092,0.2772810414526252
494,5114078579064897,False,False,False,True,0.0010700164831480773,0.2774156398368183
495,5112717485473879,False,False,True,False,0.09575501460319949,0.2770816686044671
496,5112696635326514,True,False,False,False,0.0007870688277064939,0.2769940081168512
497,5112532830978104,False,True,False,False,0.06093640507452558,0.2766335922455386
498,5111940335206439,True,False,False,False,0.00014710065640797872,0.2763104000024586
499,5111603700367368,True,False,False,False,0.00024406058071314474,0.2762797832256313
500,5110829272465422,True,False,False,False,0.0004788008841648718,0.2762490161279569
501,5110712348114975,True,False,False,False,0.000250794412970215,0.27607884288650575
502,5110495490015270,False,False,False,True,0.00011078971469931346,0.2740997934195551
503,5110494852481026,False,False,False,True,8.650288087883512e-05,0.2740862399783776
504,5110492637888558,False,False,False,True,6.908578616000134e-05,0.2740765202441998
505,5110490683080709,False,False,False,True,0.00010429623339298866,0.27409616968590694
506,5110486769795113,False,False,False,True,0.0001019051757904728,0.27409483533912443
507,5110485490532371,False,False,False,True,7.32124845602825e-05,0.2740788231777333
508,5110483100041245,False,False,False,True,0.00012100936191412742,0.27410549656671723
509,5110481338171482,False,False,False,True,6.071101587707777e-05,0.2740718466437938
510,5110479245475855,False,False,False,True,7.31517978191019e-05,0.27407878931106366
511,5110476569509909,False,False,False,True,6.583297683272087e-05,0.27407470499070885
512,5110474233282600,False,False,False,True,0.00025950864263648405,0.2741827870800989
513,5110473801269267,False,False,False,True,7.595552526164588e-05,0.2740803539511996
514,5110471171440676,False,False,False,True,6.489840101853954e-05,0.2740741834439968
515,5110469564760071,False,False,False,True,7.076074021658604e-05,0.2740774549642811
516,5110448589045832,False,False,True,False,0.13801369154724757,0.27676170201166456
517,5110130245828658,False,False,False,True,0.0001188003645351534,0.2757519930431079
518,5110100831174659,False,False,False,True,0.0001758580385931034,0.2757838344858743
519,5110070372139047,False,False,True,False,0.04455386130314719,0.2759998090113046
520,5109752506548264,False,False,True,False,0.018797646366735813,0.2757152396257474
521,5109133817348115,True,False,False,False,0.00021930331063588495,0.27564340711200597
522,5106904402165788,False,False,False,True,0.0005126694521454157,0.27504494681417413
523,5106892444467222,False,False,False,True,0.00017448651824238803,0.27485622141111116
524,5106846390747168,True,False,False,False,0.00011167997271618154,0.274842200609893
525,5106547282346045,False,False,False,True,0.0002343115076982325,0.27406574256242944
526,5106547022299203,True,False,False,False,0.0001211908301358596,0.27474631598739535
527,5106178968191033,False,False,False,True,0.00021757410448066883,0.2746743005936379
528,5105391835742238,False,False,False,True,0.0001496413664031371,0.27443042409078217
529,5105082715275270,False,False,False,True,0.00014447085605454952,0.2740156063447403
530,5105082514210902,False,False,False,True,0.00012723582155925757,0.2740059882105713
531,5105082262290444,False,False,False,True,0.00012671391558510435,0.2740056969572128
532,5105081906036772,False,False,False,True,0.00011481931431370565,0.27399905908996935
533,5104559731965957,False,False,False,True,0.00011488000105488627,0.2742050591095346
534,5104429981171726,False,False,False,True,0.0001554915682529475,0.2741247396083891
535,5104395814109214,False,False,False,True,0.00010646881872725434,0.27420036518912677
536,5104251115077691,False,False,False,True,0.0001026576913811123,0.2739922722093798
537,5104250758561888,False,False,False,True,0.0001127195530688567,0.2739978873032009
538,5104250032685079,False,False,False,True,8.82142469801282e-05,0.27398421194201283
539,5104241098817546,False,False,False,True,0.0002474926678827452,0.27417608147951633
540,5104202746101770,False,False,False,True,0.0002541682094125099,0.2741798068131732
541,5104068801265690,False,False,False,True,0.010740497239670613,0.2799287945918063
542,5104068339892262,False,False,False,True,0.00011057124243106326,0.27399668842309677
543,5104066473164818,False,False,False,True,0.00011193062543350882,0.27399744703649603
544,5104067089727498,False,False,False,True,9.282643930985421e-05,0.2739867858089031
545,5104066062123022,False,False,False,True,9.626130886067649e-05,0.273988702662403
546,5104064757694485,False,False,False,True,0.00012161622932593347,0.27400285215696557
547,5104065852669986,False,False,False,True,0.0001651650347970092,0.27402715487907703
548,5104064191463436,False,False,False,True,9.79362629172612e-05,0.2739896373824842
549,5104063138693129,False,False,False,True,7.618613487813217e-05,0.27397749956809625
550,5104062031396879,False,False,False,True,7.197447504019815e-05,0.2739751492212255
551,5104061507108876,False,False,False,True,6.192475070068988e-05,0.2739695409007382
552,5104060546875405,False,False,False,True,6.392741315964987e-05,0.27397065850083535
553,5104059112423452,False,False,False,True,8.243686921973454e-05,0.2739809878350661
554,5104058378158113,False,False,False,True,6.99354005365298e-05,0.27397401130112653
555,5104057681903634,False,False,False,True,8.071336577020534e-05,0.27398002602164917
556,5104008730443839,False,False,False,True,0.00011920089702694538,0.2740015042635151
557,5104007979663458,False,False,False,True,0.00010992796297454885,0.2739963294363989
558,5104004800380938,False,False,False,True,0.00010770682824733869,0.2739950899162913
559,5104001113587728,False,False,False,True,0.00010614111032487906,0.27399421615621533
560,5103969417232411,False,False,False,True,0.00021055871720022113,0.2740524871479445
561,5103622284050452,False,False,False,True,0.0008262014317809786,0.27429306788801194
562,5103562909220939,False,False,False,True,0.0001514862433350275,0.27391653825529944
563,5103459628941314,False,False,False,True,0.00015305196125748712,0.2739174120153753
564,5102855787577375,False,False,False,True,0.00012304843641779576,0.27369470218102504
565,5102747976925243,True,False,False,False,0.00019558061856055908,0.27377200624107456
566,5102126976663589,False,False,False,True,0.00015892643780376973,0.27350875800320246
567,5102010056245270,False,False,False,True,0.0003463028198728702,0.27361332473228706
568,5101794557362210,False,False,False,True,0.00012502682418028352,0.27318089085221553
569,5101379190980677,False,False,False,True,0.0006712196321538768,0.27358868072847786
